lsl_timestamp,marker
25585.4606265,REST_START
25592.5273265,RELAX_START
25600.4777717,TRIAL_2_index
25606.4943838,TRIAL_END
25613.1940831,REST_START
25621.3775433,RELAX_START
25629.5285305,TRIAL_3_ring
25635.5443766,TRIAL_END
25637.9275857,REST_START
25647.5276459,RELAX_START
25655.6117084,TRIAL_4_ring
25661.6279813,TRIAL_END
25664.1277712,REST_START
25668.6277886,RELAX_START
25677.1779594,TRIAL_5_pinky
25683.1779183,TRIAL_END
25686.0112294,REST_START
25696.3613229,RELAX_START
25704.7114306,TRIAL_6_thumb
25710.7114492,TRIAL_END
25713.6782545,REST_START
25726.0781508,RELAX_START
25735.1784062,TRIAL_7_thumb
25741.1784446,TRIAL_END
25747.2783084,REST_START
25757.3117001,RELAX_START
25766.1118065,TRIAL_8_thumb
25772.1117698,TRIAL_END
25775.6951493,REST_START
25783.4785634,RELAX_START
25797.1787964,TRIAL_9_pinky
25803.1786479,TRIAL_END
25806.9620142,REST_START
25815.8787362,RELAX_START
25824.4624933,TRIAL_10_middle
25830.4621796,TRIAL_END
25834.3621889,REST_START
25840.8622395,RELAX_START
25850.1790172,TRIAL_11_index
25856.1789787,TRIAL_END
25859.7290305,REST_START
25868.4290768,RELAX_START
25878.1958464,TRIAL_12_middle
25884.1958284,TRIAL_END
25888.6292077,REST_START
25896.779266,RELAX_START
25905.2460668,TRIAL_13_index
25911.2460097,TRIAL_END
25914.1127144,REST_START
25922.4962699,RELAX_START
25931.3962135,TRIAL_14_pinky
25937.39618,TRIAL_END
25940.8462136,REST_START
25950.0462762,RELAX_START
25958.9964711,TRIAL_15_index
25964.9963715,TRIAL_END
25970.1297442,REST_START
25982.3131564,RELAX_START
25992.0465922,TRIAL_16_middle
25998.046571,TRIAL_END
26001.9299375,REST_START
26013.3633571,RELAX_START
26022.496925,TRIAL_17_thumb
26028.4969663,TRIAL_END
26033.013705,REST_START
26042.3803556,RELAX_START
26051.6969863,TRIAL_18_pinky
26057.6969831,TRIAL_END
26060.7969997,REST_START
26071.7804086,RELAX_START
26081.1638358,TRIAL_19_ring
26087.1638228,TRIAL_END
26089.2971859,REST_START
26101.2806114,RELAX_START
26110.1306831,TRIAL_20_middle
26116.1306778,TRIAL_END
26118.047367,REST_START
26127.8474426,RELAX_START
26136.4810552,TRIAL_21_thumb
26142.481037,TRIAL_END
26144.8975424,REST_START
26155.1809639,RELAX_START
26165.5810486,TRIAL_22_index
26171.5810446,TRIAL_END
26174.5310733,REST_START
26188.0311589,RELAX_START
26196.8145857,TRIAL_23_middle
26202.8145864,TRIAL_END
26205.5146023,REST_START
26217.7313549,RELAX_START
26226.6481121,TRIAL_24_ring
26232.6480962,TRIAL_END
26235.3148052,REST_START
26246.2482073,RELAX_START
26255.2483088,TRIAL_25_pinky
26261.2482636,TRIAL_END
26263.7316524,REST_START
26273.565047,RELAX_START
26283.1651498,TRIAL_26_pinky
26289.1651495,TRIAL_END
26290.8818303,REST_START
26299.681901,RELAX_START
26308.6653284,TRIAL_27_index
26314.6655053,TRIAL_END
26316.6153282,REST_START
26326.1654436,RELAX_START
26334.8824935,TRIAL_28_ring
26340.8988133,TRIAL_END
26343.015544,REST_START
26354.548901,RELAX_START
26363.2823324,TRIAL_29_thumb
26369.2823265,TRIAL_END
26371.2156742,REST_START
26380.3490821,RELAX_START
26389.0158563,TRIAL_30_middle
26395.0158389,TRIAL_END
26396.8158569,REST_START
26402.6825521,RELAX_START
26411.7326495,TRIAL_31_thumb
26417.7326301,TRIAL_END
26419.6493305,REST_START
26433.8827639,RELAX_START
26442.8661814,TRIAL_32_pinky
26448.8661698,TRIAL_END
26452.8828771,REST_START
26463.732944,RELAX_START
26471.7663923,TRIAL_33_index
26477.7663501,TRIAL_END
26479.649824,REST_START
26492.6997961,RELAX_START
26501.1665587,TRIAL_34_ring
26507.1665412,TRIAL_END
26509.5999074,REST_START
26520.8333225,RELAX_START
26530.86676,TRIAL_35_middle
26536.8667447,TRIAL_END
26538.4837043,REST_START
26548.8668469,RELAX_START
26558.4336102,TRIAL_36_pinky
26564.4335789,TRIAL_END
26567.0002861,REST_START
26576.6003393,RELAX_START
26585.4504551,TRIAL_37_index
26591.4504289,TRIAL_END
26593.8671208,REST_START
26604.1005189,RELAX_START
26612.7172778,TRIAL_38_middle
26618.7172631,TRIAL_END
26620.7339646,REST_START
26627.0340047,RELAX_START
26635.5674525,TRIAL_39_thumb
26641.567415,TRIAL_END
26643.3341122,REST_START
26648.8508047,RELAX_START
26657.1509029,TRIAL_40_ring
26663.1509166,TRIAL_END
26665.5842491,REST_START
