timestamp_ms,elapsed_s,tbr,theta_rel_pct,beta_rel_pct,tbr_thresh,tbr_calib_thresh,emgL,emgR,emgL_thresh,emgR_thresh,focus,left,right,event
1776062341144,0.005,1.84,24.92,14.47,2.3742,2.3742,2.3,4.8,40,40,1,0,0,
1776062341202,0.063,1.5564,24.92,14.53,2.3742,2.3742,2,1.7,40,40,1,0,0,
1776062341258,0.119,1.1254,24.76,14.72,2.3742,2.3742,0,1.6,40,40,1,0,0,
1776062341311,0.172,0.7545,24.54,15.02,2.3742,2.3742,0,2.1,40,40,1,0,0,
1776062341367,0.228,0.6596,24.5,15.1,2.3742,2.3742,0.3,4.7,40,40,1,0,0,
1776062341425,0.286,0.4217,24.44,15.32,2.3742,2.3742,1.6,13.5,40,40,1,0,0,
1776062341475,0.336,0.4217,24.44,15.32,2.3742,2.3742,1.6,13.5,40,40,1,0,0,
1776062341527,0.388,0.5459,24.54,15.18,2.3742,2.3742,0,2.1,40,40,1,0,0,
1776062341590,0.451,0.6757,24.54,14.96,2.3742,2.3742,0.8,1.1,40,40,1,0,0,
1776062341655,0.516,0.6792,24.45,14.79,2.3742,2.3742,2.1,4.4,40,40,1,0,0,
1776062341719,0.58,0.6364,24.31,14.38,2.3742,2.3742,2.3,2,40,40,1,0,0,
1776062341770,0.631,0.6364,24.31,14.38,2.3742,2.3742,2.3,2,40,40,1,0,0,
1776062341820,0.681,0.8498,24.06,13.71,2.3742,2.3742,0.7,1.9,40,40,1,0,0,
1776062341870,0.731,1.3009,23.66,13.7,2.3742,2.3742,0.1,3.4,40,40,1,0,0,
1776062341921,0.782,1.4362,23.48,13.72,2.3742,2.3742,2.6,12.8,40,40,1,0,0,
1776062341972,0.833,1.4362,23.48,13.72,2.3742,2.3742,3.7,38.5,40,40,1,0,0,
1776062342039,0.9,1.4362,23.48,13.72,2.3742,2.3742,3,52.1,40,40,1,0,1,
1776062342103,0.964,1.4362,23.48,13.72,2.3742,2.3742,1,60.7,40,40,1,0,1,
1776062342154,1.015,3.248,23.22,13.73,2.3742,2.3742,0.7,129,40,40,0,0,1,
1776062342204,1.065,4.1195,22.83,13.81,2.3742,2.3742,0.9,187.3,40,40,0,0,1,
1776062342254,1.115,4.1195,22.83,13.81,2.3742,2.3742,0.9,187.3,40,40,0,0,1,
1776062342304,1.165,3.7876,22.4,13.94,2.3742,2.3742,1.9,75,40,40,0,0,1,
1776062342371,1.232,3.1682,21.97,14.11,2.3742,2.3742,1.9,148.6,40,40,0,0,1,
1776062342421,1.282,2.586,21.73,14.37,2.3742,2.3742,6.5,47.6,40,40,0,0,1,
1776062342471,1.332,2.0617,21.79,14.6,2.3742,2.3742,15.9,5.9,40,40,1,0,0,
1776062342521,1.382,1.5258,21.83,14.68,2.3742,2.3742,41.1,2.9,40,40,1,1,0,
1776062342572,1.433,1.2744,22.08,14.36,2.3742,2.3742,151,4,40,40,1,1,0,
1776062342636,1.497,1.2744,22.08,14.36,2.3742,2.3742,151,4,40,40,1,1,0,
1776062342689,1.55,1.6449,22.74,13.62,2.3742,2.3742,152.7,2.9,40,40,1,1,0,
1776062342742,1.603,2.1165,22.84,13.62,2.3742,2.3742,83,0.7,40,40,1,1,0,
1776062342797,1.658,2.1165,22.84,13.62,2.3742,2.3742,83,0.7,40,40,1,1,0,
1776062342847,1.708,2.6325,22.66,13.63,2.3742,2.3742,31.8,2.5,40,40,0,0,0,
1776062342909,1.77,2.7084,22.4,13.61,2.3742,2.3742,24.8,1.7,40,40,0,0,0,
1776062342975,1.836,2.589,21.83,13.67,2.3742,2.3742,4.8,3.2,40,40,0,0,0,
1776062343042,1.903,1.6851,21.24,14.48,2.3742,2.3742,5.8,2.3,40,40,1,0,0,
1776062343108,1.969,1.174,20.86,15.27,2.3742,2.3742,20.1,1.9,40,40,1,0,0,
1776062343173,2.034,0.839,20.42,15.88,2.3742,2.3742,136,0.9,40,40,1,1,0,
1776062343231,2.092,0.6691,19.95,16.11,2.3742,2.3742,130.9,1.8,40,40,1,1,0,
1776062343293,2.154,0.7038,19.5,15.96,2.3742,2.3742,154.4,1.4,40,40,1,1,0,
1776062343347,2.208,1.7332,19.28,15.68,2.3742,2.3742,194.1,3.6,40,40,1,1,0,
1776062343400,2.261,3.999,19.24,15.42,2.3742,2.3742,38.3,2.6,40,40,0,0,0,
1776062343455,2.316,4.8991,19.3,15.3,2.3742,2.3742,55.8,6.1,40,40,0,1,0,
1776062343519,2.38,6.8674,19.7,15.02,2.3742,2.3742,34.4,2.5,40,40,0,0,0,
1776062343571,2.432,8.0762,20.2,14.82,2.3742,2.3742,5.5,1.7,40,40,0,0,0,
1776062343639,2.5,8.5834,20.41,14.72,2.3742,2.3742,10.4,2.5,40,40,0,0,0,
1776062343704,2.565,4.3032,20.12,14.56,2.3742,2.3742,35.8,2.2,40,40,0,0,0,
1776062343754,2.615,4.3032,20.12,14.56,2.3742,2.3742,35.8,2.2,40,40,0,0,0,
1776062343804,2.665,3.5259,19.99,14.41,2.3742,2.3742,7.7,1,40,40,0,0,0,
1776062343854,2.715,4.9693,20.02,14.2,2.3742,2.3742,48.4,3.8,40,40,0,1,0,
1776062343920,2.781,6.9105,20.2,13.96,2.3742,2.3742,10.7,34.9,40,40,0,0,0,
1776062343970,2.831,8.1027,20.5,13.7,2.3742,2.3742,5.1,82.2,40,40,0,0,1,
1776062344021,2.882,8.0588,20.89,13.45,2.3742,2.3742,0.9,215.9,40,40,0,0,1,
1776062344087,2.948,5.7076,21.26,13.29,2.3742,2.3742,0,190.6,40,40,0,0,1,
1776062344137,2.998,3.6969,21.5,13.29,2.3742,2.3742,1.5,91.6,40,40,0,0,1,
1776062344187,3.048,3.6969,21.5,13.29,2.3742,2.3742,1.5,91.6,40,40,0,0,1,
1776062344240,3.101,3.6969,21.5,13.29,2.3742,2.3742,1.5,91.6,40,40,0,0,1,
1776062344305,3.166,1.8663,22.1,13,2.3742,2.3742,1.3,25,40,40,1,0,0,
1776062344370,3.231,1.1269,22.17,13.25,2.3742,2.3742,2.4,126.6,40,40,1,0,1,
1776062344420,3.281,1.1374,22.24,13.27,2.3742,2.3742,0.8,277.9,40,40,1,0,1,
1776062344471,3.332,1.5755,22.52,13.24,2.3742,2.3742,1.9,170.4,40,40,1,0,1,
1776062344536,3.397,4.3538,23.18,13.07,2.3742,2.3742,0.7,89.2,40,40,0,0,1,
1776062344589,3.45,6.5325,23.84,12.87,2.3742,2.3742,1.3,28.6,40,40,0,0,0,
1776062344654,3.515,7.4163,24.38,12.73,2.3742,2.3742,1.2,23.9,40,40,0,0,0,
1776062344704,3.565,6.1972,24.83,12.75,2.3742,2.3742,2,8.4,40,40,0,0,0,
1776062344754,3.615,4.784,25.1,12.94,2.3742,2.3742,0.8,79.2,40,40,0,0,1,
1776062344805,3.666,3.6356,25.07,13.13,2.3742,2.3742,0.2,240.8,40,40,0,0,1,
