Timestamp,Label,Arm_Ch1,Arm_Ch2,Arm_Ch3,Arm_Ch4,Arm_Ch5,Arm_Ch6,Leg_Ch1
1775823144.2292187,Snare,1280,1377,2032,1344,1232,1281,524
1775823144.2296276,Snare,1280,1377,2033,1329,1249,1280,520
1775823144.2299635,Snare,1297,1329,2032,1297,1232,1280,514
1775823144.2302923,Snare,1297,1345,2032,1312,1232,1296,508
1775823144.2310598,Snare,1328,1361,2032,1313,1233,1297,506
1775823144.2322528,Snare,1329,1329,2033,1312,1248,1312,505
1775823144.2337248,Snare,1328,1345,2033,1360,1248,1328,503
1775823144.234053,Snare,1312,1360,2033,1344,1264,1312,507
1775823144.2343879,Snare,1248,1361,2032,1424,1265,1296,514
1775823144.2347255,Snare,1281,1360,2032,1408,1265,1280,518
1775823144.2350495,Snare,1296,1329,2032,1313,1249,1281,521
1775823144.2353718,Snare,1313,1345,2032,1329,1264,1312,520
1775823144.2357104,Snare,1313,1329,2032,1328,1264,1329,516
1775823144.236033,Snare,1329,1329,2032,1280,1249,1329,512
1775823144.2363813,Snare,1360,1296,2032,1280,1249,1328,509
1775823144.2367413,Snare,1297,1312,2032,1312,1249,1329,505
1775823144.2370796,Snare,1281,1297,2032,1297,1264,1312,505
1775823144.2374012,Snare,1281,1296,2032,1312,1265,1297,507
1775823144.237723,Snare,1281,1312,2033,1249,1281,1264,515
1775823144.2380407,Snare,1297,1376,2032,1264,1297,1280,519
1775823144.2383733,Snare,1297,1360,2032,1329,1296,1312,524
1775823144.2386904,Snare,1312,1328,2032,1313,1296,1328,522
1775823144.2390208,Snare,1328,1328,2032,1360,1280,1328,515
1775823144.2393436,Snare,1329,1329,2032,1312,1281,1328,510
1775823144.2396574,Snare,1328,1344,2032,1328,1281,1313,506
1775823144.2399862,Snare,1312,1344,2032,1280,1280,1297,506
1775823144.2403066,Snare,1265,1328,2033,1264,1312,1296,501
1775823144.2406378,Snare,1265,1313,2033,1313,1328,1264,508
1775823144.2409525,Snare,1281,1297,2032,1233,1328,1248,512
1775823144.2412677,Snare,1297,1280,2033,1248,1329,1264,519
1775823144.2416034,Snare,1297,1344,2032,1265,1313,1296,521
1775823144.2419224,Snare,1313,1377,2032,1265,1312,1361,518
1775823144.2422378,Snare,1312,1328,2033,1249,1313,1313,514
1775823144.2425606,Snare,1312,1313,2032,1265,1312,1313,510
1775823144.242875,Snare,1312,1328,2033,1280,1313,1313,506
1775823144.2431993,Snare,1328,1313,2033,1312,1312,1313,503
1775823144.2435205,Snare,1312,1329,2032,1296,1329,1312,503
1775823144.2438493,Snare,1280,1328,2033,1313,1344,1296,506
1775823144.2441812,Snare,1297,1313,2032,1280,1329,1281,510
1775823144.2444978,Snare,1297,1313,2032,1296,1329,1297,518
1775823144.244812,Snare,1296,1329,2032,1281,1344,1297,521
1775823144.2451723,Snare,1328,1313,2033,1329,1328,1313,519
1775823144.2455099,Snare,1344,1328,2033,1345,1313,1312,513
1775823144.2458217,Snare,1345,1361,2032,1376,1328,1313,507
1775823144.246134,Snare,1312,1265,2033,1248,1329,1312,506
1775823144.246458,Snare,1329,1248,2033,1249,1328,1312,504
1775823144.2467763,Snare,1296,1297,2033,1280,1313,1297,503
1775823144.2470946,Snare,1280,1312,2033,1249,1297,1280,505
1775823144.2474115,Snare,1281,1376,2032,1313,1329,1264,511
1775823144.2477937,Snare,1296,1329,2033,1377,1345,1281,518
1775823144.2481544,Snare,1328,1313,2032,1328,1312,1312,520
1775823144.248478,Snare,1345,1296,2032,1296,1312,1296,520
1775823144.248809,Snare,1328,1265,2017,1153,1312,1297,514
1775823144.249132,Snare,1296,1296,2033,1217,1313,1280,508
1775823144.2494488,Snare,1281,1328,2033,1248,1329,1281,507
1775823144.249765,Snare,1296,1344,2032,1248,1313,1264,503
1775823144.2500796,Snare,1297,1328,2032,1264,1344,1281,502
1775823144.2503948,Snare,1313,1313,2033,1280,1344,1264,506
1775823144.2507112,Snare,1313,1361,2032,1328,1344,1265,512
1775823144.251037,Snare,1280,1344,2032,1329,1328,1281,518
1775823144.2513516,Snare,1296,1329,2032,1249,1312,1280,521
1775823144.2516644,Snare,1296,1313,2032,1217,1312,1297,521
1775823144.2519808,Snare,1296,1312,2033,1280,1312,1296,514
1775823144.2522967,Snare,1312,1296,2032,1297,1313,1281,509
1775823144.252627,Snare,1312,1280,2032,1264,1328,1297,506
1775823144.2529519,Snare,1312,1312,2032,1296,1345,1297,503
1775823144.2532675,Snare,1312,1360,2032,1329,1345,1297,503
1775823144.2535846,Snare,1313,1329,2033,1233,1344,1296,506
1775823144.2538993,Snare,1344,1344,2032,1281,1345,1297,514
1775823144.2542133,Snare,1345,1328,2032,1281,1361,1297,519
1775823144.254531,Snare,1312,1344,2032,1312,1345,1281,521
1775823144.2548614,Snare,1328,1360,2033,1265,1344,1281,518
1775823144.2551744,Snare,1329,1329,2032,1280,1344,1296,514
1775823144.2554982,Snare,1312,1296,2032,1361,1344,1313,510
1775823144.2558131,Snare,1328,1329,2033,1425,1329,1313,507
1775823144.256139,Snare,1329,1328,2033,1376,1345,1297,503
1775823144.2564647,Snare,1312,1297,2033,1248,1345,1297,503
1775823144.256778,Snare,1329,1313,2033,1248,1345,1297,506
1775823144.2571065,Snare,1344,1313,2032,1312,1361,1280,511
1775823144.25742,Snare,1360,1361,2032,1280,1360,1296,518
1775823144.2577455,Snare,1313,1328,2032,1249,1345,1297,522
1775823144.2580795,Snare,1344,1328,2033,1216,1345,1312,519
1775823144.2583933,Snare,1313,1328,2033,1265,1328,1312,517
1775823144.2587082,Snare,1312,1344,2032,1297,1344,1297,509
1775823144.2590253,Snare,1312,1313,2033,1344,1328,1297,506
1775823144.2593377,Snare,1313,1329,2032,1297,1312,1281,503
1775823144.2596898,Snare,1296,1329,2033,1296,1297,1249,503
1775823144.2600024,Snare,1281,1345,2032,1313,1328,1264,504
1775823144.2603145,Snare,1296,1313,2033,1312,1329,1248,510
1775823144.2606273,Snare,1296,1329,2032,1280,1328,1248,519
1775823144.2609417,Snare,1313,1296,2033,1248,1328,1264,519
1775823144.2612581,Snare,1328,1296,2033,1264,1313,1297,521
1775823144.2615798,Snare,1329,1313,2032,1265,1313,1297,515
1775823144.2618966,Snare,1281,1377,2033,1248,1328,1280,509
1775823144.2622252,Snare,1328,1344,2033,1297,1328,1264,505
1775823144.262538,Snare,1328,1328,2032,1297,1312,1264,504
1775823144.2628493,Snare,1297,1328,2032,1296,1297,1265,503
1775823144.2631738,Snare,1281,1313,2032,1233,1312,1281,506
1775823144.2634852,Snare,1297,1312,2033,1264,1312,1265,510
1775823144.2639449,Snare,1313,1312,2032,1297,1313,1249,520
1775823144.264432,Snare,1328,1328,2033,1312,1312,1232,522
1775823144.2649317,Snare,1312,1345,2033,1345,1312,1217,519
1775823144.2653046,Snare,1345,1296,2032,1377,1312,1312,516
1775823144.2656536,Snare,1360,1281,2032,1281,1296,1328,509
1775823144.266008,Snare,1344,1329,2032,1297,1312,1312,507
1775823144.2663429,Snare,1312,1360,2032,1313,1312,1297,502
1775823144.2666824,Snare,1328,1312,2032,1296,1313,1297,504
1775823144.267009,Snare,1313,1297,2032,1265,1329,1281,502
1775823144.2673645,Snare,1296,1296,2033,1280,1329,1265,511
1775823144.2676926,Snare,1296,1312,2032,1296,1313,1264,518
1775823144.2680333,Snare,1281,1329,2032,1280,1328,1265,522
1775823144.2683783,Snare,1296,1328,2033,1281,1329,1280,520
1775823144.2687047,Snare,1296,1361,2033,1361,1312,1281,515
1775823144.269028,Snare,1312,1344,2032,1329,1328,1296,508
1775823144.2693808,Snare,1313,1329,2033,1344,1313,1281,504
1775823144.2697017,Snare,1313,1328,2032,1296,1312,1296,504
1775823144.2700222,Snare,1344,1313,2032,1265,1329,1312,501
1775823144.2703593,Snare,1328,1312,2032,1232,1329,1264,505
1775823144.270681,Snare,1329,1345,2033,1217,1328,1217,510
1775823144.2710059,Snare,1313,1328,2033,1232,1312,1184,516
1775823144.2713344,Snare,1280,1345,2032,1328,1312,1185,521
1775823144.2716625,Snare,1297,1329,2032,1329,1313,1280,518
1775823144.2719898,Snare,1313,1345,2033,1312,1312,1377,515
1775823144.2723098,Snare,1313,1344,2032,1360,1312,1361,509
1775823144.2726436,Snare,1313,1328,2033,1264,1296,1313,507
1775823144.2729664,Snare,1329,1328,2032,1281,1296,1313,503
1775823144.2732842,Snare,1329,1312,2032,1312,1281,1297,502
1775823144.273604,Snare,1312,1297,2032,1233,1281,1281,504
1775823144.2739263,Snare,1312,1344,2033,1217,1297,1313,509
1775823144.2742443,Snare,1297,1328,2033,1248,1297,1297,518
1775823144.2746089,Snare,1296,1297,2033,1264,1296,1312,519
1775823144.27495,Snare,1296,1281,2032,1184,1296,1329,520
1775823144.2752686,Snare,1281,1312,2032,1233,1296,1312,516
1775823144.275584,Snare,1329,1328,2033,1360,1297,1328,510
1775823144.2759054,Snare,1344,1297,2032,1232,1281,1345,505
1775823144.2762458,Snare,1313,1328,2032,1233,1296,1312,504
1775823144.2768323,Snare,1313,1329,2033,1264,1297,1297,506
1775823144.277153,Snare,1312,1313,2033,1297,1312,1297,505
1775823144.2774744,Snare,1297,1312,2033,1297,1297,1281,511
1775823144.277792,Snare,1281,1360,2032,1376,1297,1248,519
1775823144.278118,Snare,1281,1296,2032,1248,1312,1248,521
1775823144.2784424,Snare,1296,1281,2033,1232,1313,1249,521
1775823144.2787607,Snare,1313,1313,2033,1313,1313,1281,516
1775823144.279081,Snare,1312,1313,2033,1249,1296,1264,511
1775823144.2794044,Snare,1296,1312,2032,1201,1313,1265,506
1775823144.2798717,Snare,1296,1313,2033,1216,1329,1265,505
1775823144.2802286,Snare,1281,1296,2032,1249,1345,1280,503
1775823144.280612,Snare,1280,1296,2032,1248,1344,1249,506
1775823144.2809806,Snare,1280,1313,2033,1297,1329,1232,511
1775823144.2813156,Snare,1296,1297,2032,1297,1328,1232,519
1775823144.2816477,Snare,1313,1312,2033,1312,1329,1280,522
1775823144.281973,Snare,1312,1312,2032,1297,1313,1280,520
1775823144.2823012,Snare,1328,1296,2033,1281,1329,1329,517
1775823144.2826443,Snare,1312,1312,2032,1265,1344,1328,510
1775823144.282969,Snare,1280,1313,2032,1281,1361,1312,507
1775823144.283297,Snare,1280,1328,2033,1281,1361,1313,504
1775823144.283621,Snare,1280,1296,2033,1296,1361,1280,505
1775823144.2839434,Snare,1281,1280,2017,1313,1345,1297,504
1775823144.2842703,Snare,1297,1344,2033,1377,1344,1296,509
1775823144.2845924,Snare,1296,1313,2033,1377,1344,1297,517
1775823144.2849376,Snare,1296,1328,2033,1329,1344,1265,521
1775823144.2852697,Snare,1296,1296,2033,1249,1344,1249,520
1775823144.2855885,Snare,1280,1313,2032,1233,1344,1280,518
1775823144.2859206,Snare,1280,1296,2032,1281,1328,1280,511
1775823144.2862499,Snare,1297,1296,2032,1280,1345,1296,506
1775823144.2865653,Snare,1328,1312,2033,1280,1360,1297,504
1775823144.2868917,Snare,1312,1329,2033,1328,1361,1281,504
1775823144.2872074,Snare,1313,1313,2032,1329,1361,1281,506
1775823144.2875192,Snare,1281,1280,2032,1281,1344,1249,512
1775823144.287837,Snare,1265,1296,2033,1329,1344,1297,517
1775823144.2881498,Snare,1264,1281,2032,1297,1345,1280,523
1775823144.2884624,Snare,1280,1345,2032,1248,1345,1265,522
1775823144.2887862,Snare,1280,1328,2033,1249,1345,1296,518
1775823144.2891123,Snare,1280,1280,2033,1313,1361,1297,512
1775823144.289431,Snare,1281,1281,2033,1312,1345,1281,507
1775823144.2897441,Snare,1296,1313,2032,1265,1360,1296,503
1775823144.2900963,Snare,1297,1344,2032,1329,1361,1296,504
