Training on device: cuda

Starting Training...
Epoch 01/50 | Train Acc: 0.4034 | Val Acc: 0.6439 | Val Drum Loss: 1.3689 | Val Int Loss: 0.0814
Epoch 02/50 | Train Acc: 0.6080 | Val Acc: 0.7424 | Val Drum Loss: 0.8305 | Val Int Loss: 0.0715
Epoch 03/50 | Train Acc: 0.7311 | Val Acc: 0.8182 | Val Drum Loss: 0.6168 | Val Int Loss: 0.0650
Epoch 04/50 | Train Acc: 0.7633 | Val Acc: 0.7803 | Val Drum Loss: 0.5701 | Val Int Loss: 0.0619
Epoch 05/50 | Train Acc: 0.7860 | Val Acc: 0.8485 | Val Drum Loss: 0.4528 | Val Int Loss: 0.0560
Epoch 06/50 | Train Acc: 0.8068 | Val Acc: 0.8636 | Val Drum Loss: 0.4032 | Val Int Loss: 0.0530
Epoch 07/50 | Train Acc: 0.8561 | Val Acc: 0.8712 | Val Drum Loss: 0.3897 | Val Int Loss: 0.0488
Epoch 08/50 | Train Acc: 0.8598 | Val Acc: 0.8712 | Val Drum Loss: 0.3468 | Val Int Loss: 0.0479
Epoch 09/50 | Train Acc: 0.8902 | Val Acc: 0.8712 | Val Drum Loss: 0.3371 | Val Int Loss: 0.0514
Epoch 10/50 | Train Acc: 0.9053 | Val Acc: 0.8788 | Val Drum Loss: 0.3090 | Val Int Loss: 0.0443
Epoch 11/50 | Train Acc: 0.9148 | Val Acc: 0.8939 | Val Drum Loss: 0.2810 | Val Int Loss: 0.0478
Epoch 12/50 | Train Acc: 0.9413 | Val Acc: 0.9015 | Val Drum Loss: 0.2554 | Val Int Loss: 0.0530
Epoch 13/50 | Train Acc: 0.9451 | Val Acc: 0.9015 | Val Drum Loss: 0.2563 | Val Int Loss: 0.0436
Epoch 14/50 | Train Acc: 0.9602 | Val Acc: 0.9242 | Val Drum Loss: 0.2446 | Val Int Loss: 0.0427
Epoch 15/50 | Train Acc: 0.9659 | Val Acc: 0.9091 | Val Drum Loss: 0.2312 | Val Int Loss: 0.0455
Epoch 16/50 | Train Acc: 0.9640 | Val Acc: 0.9167 | Val Drum Loss: 0.2158 | Val Int Loss: 0.0422
Epoch 17/50 | Train Acc: 0.9659 | Val Acc: 0.9167 | Val Drum Loss: 0.2237 | Val Int Loss: 0.0415
Epoch 18/50 | Train Acc: 0.9678 | Val Acc: 0.9318 | Val Drum Loss: 0.2062 | Val Int Loss: 0.0395
Epoch 19/50 | Train Acc: 0.9659 | Val Acc: 0.9318 | Val Drum Loss: 0.2083 | Val Int Loss: 0.0408
Epoch 20/50 | Train Acc: 0.9792 | Val Acc: 0.9167 | Val Drum Loss: 0.1951 | Val Int Loss: 0.0438
Epoch 21/50 | Train Acc: 0.9811 | Val Acc: 0.9318 | Val Drum Loss: 0.1999 | Val Int Loss: 0.0388
Epoch 22/50 | Train Acc: 0.9848 | Val Acc: 0.9242 | Val Drum Loss: 0.1939 | Val Int Loss: 0.0386
Epoch 23/50 | Train Acc: 0.9848 | Val Acc: 0.9318 | Val Drum Loss: 0.1984 | Val Int Loss: 0.0409
Epoch 24/50 | Train Acc: 0.9830 | Val Acc: 0.9318 | Val Drum Loss: 0.1990 | Val Int Loss: 0.0380
Epoch 25/50 | Train Acc: 0.9905 | Val Acc: 0.9242 | Val Drum Loss: 0.1918 | Val Int Loss: 0.0395
Epoch 26/50 | Train Acc: 0.9962 | Val Acc: 0.9242 | Val Drum Loss: 0.2003 | Val Int Loss: 0.0404
Epoch 27/50 | Train Acc: 0.9886 | Val Acc: 0.9394 | Val Drum Loss: 0.1830 | Val Int Loss: 0.0374
Epoch 28/50 | Train Acc: 0.9943 | Val Acc: 0.9394 | Val Drum Loss: 0.1694 | Val Int Loss: 0.0377
Epoch 29/50 | Train Acc: 0.9924 | Val Acc: 0.9242 | Val Drum Loss: 0.1781 | Val Int Loss: 0.0393
Epoch 30/50 | Train Acc: 0.9924 | Val Acc: 0.9394 | Val Drum Loss: 0.1690 | Val Int Loss: 0.0417
Epoch 31/50 | Train Acc: 0.9962 | Val Acc: 0.9394 | Val Drum Loss: 0.1661 | Val Int Loss: 0.0343
Epoch 32/50 | Train Acc: 0.9905 | Val Acc: 0.9394 | Val Drum Loss: 0.1699 | Val Int Loss: 0.0380
Epoch 33/50 | Train Acc: 0.9924 | Val Acc: 0.9318 | Val Drum Loss: 0.1691 | Val Int Loss: 0.0392
Epoch 34/50 | Train Acc: 0.9962 | Val Acc: 0.9470 | Val Drum Loss: 0.1589 | Val Int Loss: 0.0318
Epoch 35/50 | Train Acc: 0.9981 | Val Acc: 0.9394 | Val Drum Loss: 0.1631 | Val Int Loss: 0.0346
Epoch 36/50 | Train Acc: 0.9943 | Val Acc: 0.9470 | Val Drum Loss: 0.1570 | Val Int Loss: 0.0356
Epoch 37/50 | Train Acc: 0.9981 | Val Acc: 0.9394 | Val Drum Loss: 0.1684 | Val Int Loss: 0.0345
Epoch 38/50 | Train Acc: 0.9981 | Val Acc: 0.9545 | Val Drum Loss: 0.1601 | Val Int Loss: 0.0320
Epoch 39/50 | Train Acc: 0.9962 | Val Acc: 0.9470 | Val Drum Loss: 0.1525 | Val Int Loss: 0.0327
Epoch 40/50 | Train Acc: 0.9981 | Val Acc: 0.9318 | Val Drum Loss: 0.1554 | Val Int Loss: 0.0354
Epoch 41/50 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1482 | Val Int Loss: 0.0334
Epoch 42/50 | Train Acc: 0.9981 | Val Acc: 0.9470 | Val Drum Loss: 0.1585 | Val Int Loss: 0.0325
Epoch 43/50 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1501 | Val Int Loss: 0.0282
Epoch 44/50 | Train Acc: 0.9962 | Val Acc: 0.9545 | Val Drum Loss: 0.1545 | Val Int Loss: 0.0341
Epoch 45/50 | Train Acc: 1.0000 | Val Acc: 0.9318 | Val Drum Loss: 0.1591 | Val Int Loss: 0.0305
Epoch 46/50 | Train Acc: 1.0000 | Val Acc: 0.9470 | Val Drum Loss: 0.1479 | Val Int Loss: 0.0312
Epoch 47/50 | Train Acc: 1.0000 | Val Acc: 0.9545 | Val Drum Loss: 0.1507 | Val Int Loss: 0.0328
Epoch 48/50 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1546 | Val Int Loss: 0.0275
Epoch 49/50 | Train Acc: 1.0000 | Val Acc: 0.9394 | Val Drum Loss: 0.1568 | Val Int Loss: 0.0305
Epoch 50/50 | Train Acc: 1.0000 | Val Acc: 0.9470 | Val Drum Loss: 0.1479 | Val Int Loss: 0.0296

Training complete. Best model saved as 'best_emg_air_drum_model.pth'
