Training on device: cuda

Starting Training...
Epoch 01/50 | Train Acc: 0.3523 | Val Acc: 0.6742 | Val Drum Loss: 1.4312 | Val Int Loss: 0.0796
Epoch 02/50 | Train Acc: 0.6818 | Val Acc: 0.8030 | Val Drum Loss: 0.8406 | Val Int Loss: 0.0664
Epoch 03/50 | Train Acc: 0.7235 | Val Acc: 0.8333 | Val Drum Loss: 0.6127 | Val Int Loss: 0.0637
Epoch 04/50 | Train Acc: 0.7841 | Val Acc: 0.8182 | Val Drum Loss: 0.5223 | Val Int Loss: 0.0665
Epoch 05/50 | Train Acc: 0.8049 | Val Acc: 0.8333 | Val Drum Loss: 0.4573 | Val Int Loss: 0.0530
Epoch 06/50 | Train Acc: 0.8485 | Val Acc: 0.8485 | Val Drum Loss: 0.4081 | Val Int Loss: 0.0450
Epoch 07/50 | Train Acc: 0.8807 | Val Acc: 0.8636 | Val Drum Loss: 0.3766 | Val Int Loss: 0.0464
Epoch 08/50 | Train Acc: 0.8731 | Val Acc: 0.8561 | Val Drum Loss: 0.3578 | Val Int Loss: 0.0415
Epoch 09/50 | Train Acc: 0.8807 | Val Acc: 0.8712 | Val Drum Loss: 0.3258 | Val Int Loss: 0.0445
Epoch 10/50 | Train Acc: 0.8902 | Val Acc: 0.8939 | Val Drum Loss: 0.3110 | Val Int Loss: 0.0404
Epoch 11/50 | Train Acc: 0.9148 | Val Acc: 0.8864 | Val Drum Loss: 0.2941 | Val Int Loss: 0.0401
Epoch 12/50 | Train Acc: 0.9394 | Val Acc: 0.8939 | Val Drum Loss: 0.2746 | Val Int Loss: 0.0376
Epoch 13/50 | Train Acc: 0.9375 | Val Acc: 0.8864 | Val Drum Loss: 0.2853 | Val Int Loss: 0.0400
Epoch 14/50 | Train Acc: 0.9470 | Val Acc: 0.8939 | Val Drum Loss: 0.2645 | Val Int Loss: 0.0381
Epoch 15/50 | Train Acc: 0.9678 | Val Acc: 0.8864 | Val Drum Loss: 0.2642 | Val Int Loss: 0.0361
Epoch 16/50 | Train Acc: 0.9602 | Val Acc: 0.9015 | Val Drum Loss: 0.2510 | Val Int Loss: 0.0390
Epoch 17/50 | Train Acc: 0.9754 | Val Acc: 0.9167 | Val Drum Loss: 0.2412 | Val Int Loss: 0.0366
Epoch 18/50 | Train Acc: 0.9792 | Val Acc: 0.9318 | Val Drum Loss: 0.2282 | Val Int Loss: 0.0370
