Training on device: cuda

Starting Training...
Epoch 01/50 | Train Acc: 0.3598 | Val Acc: 0.4621 | Val Drum Loss: 1.4793 | Val Int Loss: 0.0899
Epoch 02/50 | Train Acc: 0.6117 | Val Acc: 0.7500 | Val Drum Loss: 0.8490 | Val Int Loss: 0.0806
Epoch 03/50 | Train Acc: 0.6667 | Val Acc: 0.7727 | Val Drum Loss: 0.6585 | Val Int Loss: 0.0721
Epoch 04/50 | Train Acc: 0.7348 | Val Acc: 0.8712 | Val Drum Loss: 0.5692 | Val Int Loss: 0.0702
Epoch 05/50 | Train Acc: 0.7765 | Val Acc: 0.8485 | Val Drum Loss: 0.5209 | Val Int Loss: 0.0627
Epoch 06/50 | Train Acc: 0.7860 | Val Acc: 0.8409 | Val Drum Loss: 0.4850 | Val Int Loss: 0.0681
Epoch 07/50 | Train Acc: 0.8087 | Val Acc: 0.8561 | Val Drum Loss: 0.4421 | Val Int Loss: 0.0603
Epoch 08/50 | Train Acc: 0.8693 | Val Acc: 0.8864 | Val Drum Loss: 0.3999 | Val Int Loss: 0.0572
Epoch 09/50 | Train Acc: 0.8693 | Val Acc: 0.9015 | Val Drum Loss: 0.3813 | Val Int Loss: 0.0549
Epoch 10/50 | Train Acc: 0.8826 | Val Acc: 0.9015 | Val Drum Loss: 0.3568 | Val Int Loss: 0.0532
Epoch 11/50 | Train Acc: 0.8769 | Val Acc: 0.9015 | Val Drum Loss: 0.3574 | Val Int Loss: 0.0625
Epoch 12/50 | Train Acc: 0.9110 | Val Acc: 0.9167 | Val Drum Loss: 0.3149 | Val Int Loss: 0.0493
Epoch 13/50 | Train Acc: 0.8864 | Val Acc: 0.9167 | Val Drum Loss: 0.3038 | Val Int Loss: 0.0487
Epoch 14/50 | Train Acc: 0.9072 | Val Acc: 0.9091 | Val Drum Loss: 0.2937 | Val Int Loss: 0.0512
Epoch 15/50 | Train Acc: 0.9413 | Val Acc: 0.9242 | Val Drum Loss: 0.2779 | Val Int Loss: 0.0470
Epoch 16/50 | Train Acc: 0.9356 | Val Acc: 0.9394 | Val Drum Loss: 0.2746 | Val Int Loss: 0.0465
Epoch 17/50 | Train Acc: 0.9356 | Val Acc: 0.9242 | Val Drum Loss: 0.2573 | Val Int Loss: 0.0447
Epoch 18/50 | Train Acc: 0.9564 | Val Acc: 0.9242 | Val Drum Loss: 0.2527 | Val Int Loss: 0.0446
Epoch 19/50 | Train Acc: 0.9489 | Val Acc: 0.9318 | Val Drum Loss: 0.2402 | Val Int Loss: 0.0443
Epoch 20/50 | Train Acc: 0.9621 | Val Acc: 0.9318 | Val Drum Loss: 0.2489 | Val Int Loss: 0.0448
Epoch 21/50 | Train Acc: 0.9735 | Val Acc: 0.9167 | Val Drum Loss: 0.2304 | Val Int Loss: 0.0487
Epoch 22/50 | Train Acc: 0.9621 | Val Acc: 0.9091 | Val Drum Loss: 0.2198 | Val Int Loss: 0.0422
Epoch 23/50 | Train Acc: 0.9773 | Val Acc: 0.9394 | Val Drum Loss: 0.2266 | Val Int Loss: 0.0474
Epoch 24/50 | Train Acc: 0.9716 | Val Acc: 0.9091 | Val Drum Loss: 0.2189 | Val Int Loss: 0.0411
Epoch 25/50 | Train Acc: 0.9792 | Val Acc: 0.9167 | Val Drum Loss: 0.2087 | Val Int Loss: 0.0416
Epoch 26/50 | Train Acc: 0.9811 | Val Acc: 0.9091 | Val Drum Loss: 0.2293 | Val Int Loss: 0.0455
Epoch 27/50 | Train Acc: 0.9811 | Val Acc: 0.9091 | Val Drum Loss: 0.2038 | Val Int Loss: 0.0455
Epoch 28/50 | Train Acc: 0.9792 | Val Acc: 0.9394 | Val Drum Loss: 0.2064 | Val Int Loss: 0.0400
Epoch 29/50 | Train Acc: 0.9943 | Val Acc: 0.9091 | Val Drum Loss: 0.2083 | Val Int Loss: 0.0399
Epoch 30/50 | Train Acc: 0.9848 | Val Acc: 0.9091 | Val Drum Loss: 0.2052 | Val Int Loss: 0.0456
Epoch 31/50 | Train Acc: 0.9830 | Val Acc: 0.9091 | Val Drum Loss: 0.2092 | Val Int Loss: 0.0391
Epoch 32/50 | Train Acc: 0.9867 | Val Acc: 0.9242 | Val Drum Loss: 0.2035 | Val Int Loss: 0.0390
Epoch 33/50 | Train Acc: 0.9943 | Val Acc: 0.9242 | Val Drum Loss: 0.2073 | Val Int Loss: 0.0369
Epoch 34/50 | Train Acc: 0.9848 | Val Acc: 0.9318 | Val Drum Loss: 0.2004 | Val Int Loss: 0.0372
Epoch 35/50 | Train Acc: 0.9943 | Val Acc: 0.9167 | Val Drum Loss: 0.2021 | Val Int Loss: 0.0373
Epoch 36/50 | Train Acc: 0.9943 | Val Acc: 0.9242 | Val Drum Loss: 0.1928 | Val Int Loss: 0.0385
Epoch 37/50 | Train Acc: 0.9943 | Val Acc: 0.9242 | Val Drum Loss: 0.1883 | Val Int Loss: 0.0374
Epoch 38/50 | Train Acc: 0.9962 | Val Acc: 0.9242 | Val Drum Loss: 0.1906 | Val Int Loss: 0.0374
Epoch 39/50 | Train Acc: 0.9962 | Val Acc: 0.9242 | Val Drum Loss: 0.1914 | Val Int Loss: 0.0368
Epoch 40/50 | Train Acc: 0.9962 | Val Acc: 0.9091 | Val Drum Loss: 0.1993 | Val Int Loss: 0.0403
Epoch 41/50 | Train Acc: 1.0000 | Val Acc: 0.9167 | Val Drum Loss: 0.2044 | Val Int Loss: 0.0374
Epoch 42/50 | Train Acc: 0.9962 | Val Acc: 0.9091 | Val Drum Loss: 0.1990 | Val Int Loss: 0.0363
Epoch 43/50 | Train Acc: 0.9962 | Val Acc: 0.9091 | Val Drum Loss: 0.1966 | Val Int Loss: 0.0402
Epoch 44/50 | Train Acc: 0.9981 | Val Acc: 0.9167 | Val Drum Loss: 0.1902 | Val Int Loss: 0.0385
Epoch 45/50 | Train Acc: 0.9981 | Val Acc: 0.9091 | Val Drum Loss: 0.2066 | Val Int Loss: 0.0392
Epoch 46/50 | Train Acc: 0.9981 | Val Acc: 0.9167 | Val Drum Loss: 0.2025 | Val Int Loss: 0.0380
Epoch 47/50 | Train Acc: 0.9981 | Val Acc: 0.9167 | Val Drum Loss: 0.1951 | Val Int Loss: 0.0370
Epoch 48/50 | Train Acc: 1.0000 | Val Acc: 0.9015 | Val Drum Loss: 0.2009 | Val Int Loss: 0.0382
Epoch 49/50 | Train Acc: 0.9943 | Val Acc: 0.9091 | Val Drum Loss: 0.1938 | Val Int Loss: 0.0347
Epoch 50/50 | Train Acc: 0.9943 | Val Acc: 0.9167 | Val Drum Loss: 0.1905 | Val Int Loss: 0.0412

Training complete. Best model saved as 'best_emg_air_drum_model.pth'
