Training on device: cuda

Starting Training...
Epoch 01/100 | Train Acc: 0.4034 | Val Acc: 0.5758 | Val Drum Loss: 1.3683 | Val Int Loss: 0.0908
Epoch 02/100 | Train Acc: 0.6458 | Val Acc: 0.7045 | Val Drum Loss: 0.8308 | Val Int Loss: 0.0750
Epoch 03/100 | Train Acc: 0.6856 | Val Acc: 0.7803 | Val Drum Loss: 0.6484 | Val Int Loss: 0.0673
Epoch 04/100 | Train Acc: 0.7330 | Val Acc: 0.7576 | Val Drum Loss: 0.5997 | Val Int Loss: 0.0604
Epoch 05/100 | Train Acc: 0.7614 | Val Acc: 0.7348 | Val Drum Loss: 0.5515 | Val Int Loss: 0.0572
Epoch 06/100 | Train Acc: 0.7898 | Val Acc: 0.8030 | Val Drum Loss: 0.4861 | Val Int Loss: 0.0539
Epoch 07/100 | Train Acc: 0.8239 | Val Acc: 0.8712 | Val Drum Loss: 0.4648 | Val Int Loss: 0.0504
Epoch 08/100 | Train Acc: 0.8523 | Val Acc: 0.8485 | Val Drum Loss: 0.4228 | Val Int Loss: 0.0487
Epoch 09/100 | Train Acc: 0.8864 | Val Acc: 0.8712 | Val Drum Loss: 0.4008 | Val Int Loss: 0.0494
Epoch 10/100 | Train Acc: 0.8864 | Val Acc: 0.8788 | Val Drum Loss: 0.3811 | Val Int Loss: 0.0454
Epoch 11/100 | Train Acc: 0.8769 | Val Acc: 0.8561 | Val Drum Loss: 0.4009 | Val Int Loss: 0.0445
Epoch 12/100 | Train Acc: 0.9072 | Val Acc: 0.8788 | Val Drum Loss: 0.3451 | Val Int Loss: 0.0458
Epoch 13/100 | Train Acc: 0.9223 | Val Acc: 0.8712 | Val Drum Loss: 0.3428 | Val Int Loss: 0.0432
Epoch 14/100 | Train Acc: 0.9280 | Val Acc: 0.8485 | Val Drum Loss: 0.3369 | Val Int Loss: 0.0474
Epoch 15/100 | Train Acc: 0.9375 | Val Acc: 0.8788 | Val Drum Loss: 0.3312 | Val Int Loss: 0.0412
Epoch 16/100 | Train Acc: 0.9280 | Val Acc: 0.8712 | Val Drum Loss: 0.3020 | Val Int Loss: 0.0423
Epoch 17/100 | Train Acc: 0.9564 | Val Acc: 0.8864 | Val Drum Loss: 0.2951 | Val Int Loss: 0.0391
Epoch 18/100 | Train Acc: 0.9451 | Val Acc: 0.9167 | Val Drum Loss: 0.2796 | Val Int Loss: 0.0390
Epoch 19/100 | Train Acc: 0.9602 | Val Acc: 0.9091 | Val Drum Loss: 0.2833 | Val Int Loss: 0.0384
Epoch 20/100 | Train Acc: 0.9545 | Val Acc: 0.9015 | Val Drum Loss: 0.2804 | Val Int Loss: 0.0366
Epoch 21/100 | Train Acc: 0.9716 | Val Acc: 0.9015 | Val Drum Loss: 0.2773 | Val Int Loss: 0.0370
Epoch 22/100 | Train Acc: 0.9678 | Val Acc: 0.8864 | Val Drum Loss: 0.2621 | Val Int Loss: 0.0387
Epoch 23/100 | Train Acc: 0.9697 | Val Acc: 0.9167 | Val Drum Loss: 0.2535 | Val Int Loss: 0.0370
Epoch 24/100 | Train Acc: 0.9735 | Val Acc: 0.9167 | Val Drum Loss: 0.2629 | Val Int Loss: 0.0370
Epoch 25/100 | Train Acc: 0.9773 | Val Acc: 0.9242 | Val Drum Loss: 0.2457 | Val Int Loss: 0.0355
Epoch 26/100 | Train Acc: 0.9792 | Val Acc: 0.9242 | Val Drum Loss: 0.2423 | Val Int Loss: 0.0364
