Training on device: cuda

Starting Training...
Epoch 01/50 | Train Acc: 0.2614 | Val Acc: 0.4697 | Val Drum Loss: 1.5682 | Val Int Loss: 0.0909
Epoch 02/50 | Train Acc: 0.4886 | Val Acc: 0.6894 | Val Drum Loss: 0.9411 | Val Int Loss: 0.0861
Epoch 03/50 | Train Acc: 0.6004 | Val Acc: 0.6439 | Val Drum Loss: 0.7524 | Val Int Loss: 0.0815
Epoch 04/50 | Train Acc: 0.6023 | Val Acc: 0.7273 | Val Drum Loss: 0.6662 | Val Int Loss: 0.0799
Epoch 05/50 | Train Acc: 0.5928 | Val Acc: 0.7803 | Val Drum Loss: 0.6209 | Val Int Loss: 0.0734
Epoch 06/50 | Train Acc: 0.6420 | Val Acc: 0.7500 | Val Drum Loss: 0.5892 | Val Int Loss: 0.0707
Epoch 07/50 | Train Acc: 0.6667 | Val Acc: 0.7955 | Val Drum Loss: 0.5423 | Val Int Loss: 0.0693
Epoch 08/50 | Train Acc: 0.7008 | Val Acc: 0.8030 | Val Drum Loss: 0.5204 | Val Int Loss: 0.0669
Epoch 09/50 | Train Acc: 0.6761 | Val Acc: 0.8030 | Val Drum Loss: 0.5116 | Val Int Loss: 0.0677
Epoch 10/50 | Train Acc: 0.6951 | Val Acc: 0.8409 | Val Drum Loss: 0.4860 | Val Int Loss: 0.0634
Epoch 11/50 | Train Acc: 0.7045 | Val Acc: 0.8485 | Val Drum Loss: 0.4673 | Val Int Loss: 0.0623
Epoch 12/50 | Train Acc: 0.7235 | Val Acc: 0.8182 | Val Drum Loss: 0.4586 | Val Int Loss: 0.0609
Epoch 13/50 | Train Acc: 0.7595 | Val Acc: 0.8409 | Val Drum Loss: 0.4428 | Val Int Loss: 0.0613
Epoch 14/50 | Train Acc: 0.7803 | Val Acc: 0.8788 | Val Drum Loss: 0.4221 | Val Int Loss: 0.0571
Epoch 15/50 | Train Acc: 0.7462 | Val Acc: 0.8788 | Val Drum Loss: 0.4327 | Val Int Loss: 0.0585
Epoch 16/50 | Train Acc: 0.7973 | Val Acc: 0.8333 | Val Drum Loss: 0.3952 | Val Int Loss: 0.0558
Epoch 17/50 | Train Acc: 0.7955 | Val Acc: 0.8636 | Val Drum Loss: 0.3805 | Val Int Loss: 0.0574
Epoch 18/50 | Train Acc: 0.8163 | Val Acc: 0.8258 | Val Drum Loss: 0.3821 | Val Int Loss: 0.0523
Epoch 19/50 | Train Acc: 0.7538 | Val Acc: 0.8712 | Val Drum Loss: 0.3733 | Val Int Loss: 0.0537
Epoch 20/50 | Train Acc: 0.8068 | Val Acc: 0.8712 | Val Drum Loss: 0.3617 | Val Int Loss: 0.0513
Epoch 21/50 | Train Acc: 0.8239 | Val Acc: 0.8561 | Val Drum Loss: 0.3589 | Val Int Loss: 0.0551
Epoch 22/50 | Train Acc: 0.8371 | Val Acc: 0.8788 | Val Drum Loss: 0.3373 | Val Int Loss: 0.0505
Epoch 23/50 | Train Acc: 0.8352 | Val Acc: 0.8788 | Val Drum Loss: 0.3194 | Val Int Loss: 0.0490
Epoch 24/50 | Train Acc: 0.8144 | Val Acc: 0.8712 | Val Drum Loss: 0.3305 | Val Int Loss: 0.0483
Epoch 25/50 | Train Acc: 0.8390 | Val Acc: 0.9015 | Val Drum Loss: 0.3041 | Val Int Loss: 0.0479
Epoch 26/50 | Train Acc: 0.8485 | Val Acc: 0.8864 | Val Drum Loss: 0.3016 | Val Int Loss: 0.0490
Epoch 27/50 | Train Acc: 0.8636 | Val Acc: 0.9091 | Val Drum Loss: 0.2842 | Val Int Loss: 0.0469
Epoch 28/50 | Train Acc: 0.8598 | Val Acc: 0.9015 | Val Drum Loss: 0.2915 | Val Int Loss: 0.0496
Epoch 29/50 | Train Acc: 0.8598 | Val Acc: 0.9015 | Val Drum Loss: 0.2810 | Val Int Loss: 0.0506
Epoch 30/50 | Train Acc: 0.8788 | Val Acc: 0.8939 | Val Drum Loss: 0.2848 | Val Int Loss: 0.0484
Epoch 31/50 | Train Acc: 0.8712 | Val Acc: 0.9015 | Val Drum Loss: 0.2738 | Val Int Loss: 0.0448
Epoch 32/50 | Train Acc: 0.9053 | Val Acc: 0.8939 | Val Drum Loss: 0.2659 | Val Int Loss: 0.0446
Epoch 33/50 | Train Acc: 0.8977 | Val Acc: 0.9091 | Val Drum Loss: 0.2493 | Val Int Loss: 0.0448
Epoch 34/50 | Train Acc: 0.8902 | Val Acc: 0.9015 | Val Drum Loss: 0.2669 | Val Int Loss: 0.0451
Epoch 35/50 | Train Acc: 0.8939 | Val Acc: 0.9167 | Val Drum Loss: 0.2586 | Val Int Loss: 0.0452
Epoch 36/50 | Train Acc: 0.8920 | Val Acc: 0.9091 | Val Drum Loss: 0.2527 | Val Int Loss: 0.0440
Epoch 37/50 | Train Acc: 0.9091 | Val Acc: 0.9167 | Val Drum Loss: 0.2391 | Val Int Loss: 0.0424
Epoch 38/50 | Train Acc: 0.9167 | Val Acc: 0.9167 | Val Drum Loss: 0.2365 | Val Int Loss: 0.0445
Epoch 39/50 | Train Acc: 0.8920 | Val Acc: 0.9167 | Val Drum Loss: 0.2293 | Val Int Loss: 0.0432
Epoch 40/50 | Train Acc: 0.9299 | Val Acc: 0.9242 | Val Drum Loss: 0.2314 | Val Int Loss: 0.0440
Epoch 41/50 | Train Acc: 0.9318 | Val Acc: 0.9091 | Val Drum Loss: 0.2223 | Val Int Loss: 0.0428
Epoch 42/50 | Train Acc: 0.9261 | Val Acc: 0.9167 | Val Drum Loss: 0.2241 | Val Int Loss: 0.0439
Epoch 43/50 | Train Acc: 0.9299 | Val Acc: 0.9015 | Val Drum Loss: 0.2288 | Val Int Loss: 0.0423
Epoch 44/50 | Train Acc: 0.9223 | Val Acc: 0.9091 | Val Drum Loss: 0.2093 | Val Int Loss: 0.0408
Epoch 45/50 | Train Acc: 0.9148 | Val Acc: 0.9242 | Val Drum Loss: 0.2174 | Val Int Loss: 0.0408
Epoch 46/50 | Train Acc: 0.9280 | Val Acc: 0.9394 | Val Drum Loss: 0.2114 | Val Int Loss: 0.0407
Epoch 47/50 | Train Acc: 0.9489 | Val Acc: 0.9167 | Val Drum Loss: 0.2051 | Val Int Loss: 0.0396
Epoch 48/50 | Train Acc: 0.9394 | Val Acc: 0.9242 | Val Drum Loss: 0.2069 | Val Int Loss: 0.0395
Epoch 49/50 | Train Acc: 0.9489 | Val Acc: 0.9091 | Val Drum Loss: 0.2198 | Val Int Loss: 0.0395
Epoch 50/50 | Train Acc: 0.9508 | Val Acc: 0.9242 | Val Drum Loss: 0.2025 | Val Int Loss: 0.0394

Training complete. Best model saved as 'best_emg_air_drum_model.pth'
