Training on device: cuda

Starting Training...
Epoch 01/50 | Train Acc: 0.2614 | Val Acc: 0.5379 | Val Drum Loss: 1.5815 | Val Int Loss: 0.0902
Epoch 02/50 | Train Acc: 0.4413 | Val Acc: 0.6894 | Val Drum Loss: 1.1011 | Val Int Loss: 0.0869
Epoch 03/50 | Train Acc: 0.5038 | Val Acc: 0.6894 | Val Drum Loss: 0.8739 | Val Int Loss: 0.0870
Epoch 04/50 | Train Acc: 0.5114 | Val Acc: 0.7500 | Val Drum Loss: 0.7617 | Val Int Loss: 0.0823
Epoch 05/50 | Train Acc: 0.5587 | Val Acc: 0.7727 | Val Drum Loss: 0.6804 | Val Int Loss: 0.0811
Epoch 06/50 | Train Acc: 0.5947 | Val Acc: 0.8030 | Val Drum Loss: 0.6182 | Val Int Loss: 0.0771
Epoch 07/50 | Train Acc: 0.6364 | Val Acc: 0.8106 | Val Drum Loss: 0.5796 | Val Int Loss: 0.0750
Epoch 08/50 | Train Acc: 0.6477 | Val Acc: 0.8333 | Val Drum Loss: 0.5532 | Val Int Loss: 0.0734
Epoch 09/50 | Train Acc: 0.6951 | Val Acc: 0.8182 | Val Drum Loss: 0.5224 | Val Int Loss: 0.0774
Epoch 10/50 | Train Acc: 0.7008 | Val Acc: 0.7955 | Val Drum Loss: 0.4995 | Val Int Loss: 0.0714
Epoch 11/50 | Train Acc: 0.6970 | Val Acc: 0.8182 | Val Drum Loss: 0.4847 | Val Int Loss: 0.0703
Epoch 12/50 | Train Acc: 0.7273 | Val Acc: 0.8106 | Val Drum Loss: 0.4535 | Val Int Loss: 0.0690
Epoch 13/50 | Train Acc: 0.7140 | Val Acc: 0.8636 | Val Drum Loss: 0.4304 | Val Int Loss: 0.0675
Epoch 14/50 | Train Acc: 0.7538 | Val Acc: 0.8409 | Val Drum Loss: 0.4234 | Val Int Loss: 0.0695
Epoch 15/50 | Train Acc: 0.7538 | Val Acc: 0.8636 | Val Drum Loss: 0.3951 | Val Int Loss: 0.0664
Epoch 16/50 | Train Acc: 0.7633 | Val Acc: 0.8182 | Val Drum Loss: 0.3973 | Val Int Loss: 0.0707
Epoch 17/50 | Train Acc: 0.7822 | Val Acc: 0.8636 | Val Drum Loss: 0.3764 | Val Int Loss: 0.0713
Epoch 18/50 | Train Acc: 0.7860 | Val Acc: 0.8636 | Val Drum Loss: 0.3668 | Val Int Loss: 0.0610
Epoch 19/50 | Train Acc: 0.7879 | Val Acc: 0.8485 | Val Drum Loss: 0.3595 | Val Int Loss: 0.0610
Epoch 20/50 | Train Acc: 0.7973 | Val Acc: 0.8864 | Val Drum Loss: 0.3509 | Val Int Loss: 0.0615
Epoch 21/50 | Train Acc: 0.8182 | Val Acc: 0.8788 | Val Drum Loss: 0.3482 | Val Int Loss: 0.0606
Epoch 22/50 | Train Acc: 0.8220 | Val Acc: 0.8636 | Val Drum Loss: 0.3359 | Val Int Loss: 0.0595
Epoch 23/50 | Train Acc: 0.8447 | Val Acc: 0.8939 | Val Drum Loss: 0.3148 | Val Int Loss: 0.0671
